NAME,GAUNTLETS
Whirlwind Slash,0
Mikiri Counter,0
A Shinobi's Karma: Body,0
Mid-air Deflection,0
A Shinobi's Karma: Mind,0
Breath of Life: Light,0
Mid-air Combat Arts,0
Run and Slide,0
Suppress Presence,0
Shinobi Eyes,0
Vault Over,0
Suppress Sound,0
Shadowrush,0
Ichimonji,0
Descending Carp,0
Ascending Carp,0
Ichimonji: Double,0
Flowing Water,0
Breath of Nature: Light,0
Ashina Cross,0
Chasing Slice,0
Grappling Hook Attack,0
Fang and Blade,0
Mid-air Prosthetic Tool,0
Projected Force,0
Nightjar Slash,0
Emma's Medicine: Potency,0
Emma's Medicine: Aroma,0
Sculptor's Karma: Scars,0
Sculptor's Karma: Blood,0
Living Force,0
Nightjar Slash Reversal,0
Praying Strikes,0
Virtuous Deed,0
Most Virtuous Deed,0
Praying Strikes - Exorcism,0
Senpou Leaping Kicks,0
Devotion,0
High Monk,0
Shadowfall,0
Spiral Cloud Passage,0
Empowered Mortal Draw,0
Bloodsmoke Ninjutsu,0
Puppeteer Ninjutsu,0
Bestowal Ninjutsu,0
Beast's Karma,0
Breath of Life: Shadow,0
Breath of Nature: Shadow,0
Dragon Flash,0
Mibu Breathing Technique,0
One Mind,0
Shinobi Medicine Rank 1,0
Shinobi Medicine Rank 2,0
Shinobi Medicine Rank 3,0
Anti Air Death Blow,0
Floating Passage,0
Sakura Dance,1
